id,student_id,subject_id,semester
1,1,S009,2025-1
2,1,S006,2025-1
3,1,S008,2025-1
4,1,S018,2025-1
5,2,S016,2025-1
6,2,S015,2025-1
7,2,S014,2025-1
8,2,S019,2025-1
9,3,S009,2025-1
10,3,S006,2025-1
11,3,S008,2025-1
12,3,S019,2025-1
13,4,S015,2025-1
14,4,S016,2025-1
15,4,S014,2025-1
16,4,S020,2025-1
17,5,S001,2025-1
18,5,S002,2025-1
19,5,S005,2025-1
20,5,S017,2025-1
21,6,S008,2025-1
22,6,S006,2025-1
23,6,S009,2025-1
24,6,S018,2025-1
25,7,S014,2025-1
26,7,S016,2025-1
27,7,S015,2025-1
28,7,S018,2025-1
29,8,S001,2025-1
30,8,S005,2025-1
31,8,S002,2025-1
32,8,S017,2025-1
33,9,S005,2025-1
34,9,S002,2025-1
35,9,S004,2025-1
36,9,S020,2025-1
37,10,S007,2025-1
38,10,S008,2025-1
39,10,S006,2025-1
40,10,S020,2025-1
41,11,S002,2025-1
42,11,S004,2025-1
43,11,S005,2025-1
44,11,S018,2025-1
45,12,S014,2025-1
46,12,S016,2025-1
47,12,S015,2025-1
48,12,S019,2025-1
49,13,S009,2025-1
50,13,S007,2025-1
51,13,S008,2025-1
52,13,S017,2025-1
53,14,S006,2025-1
54,14,S009,2025-1
55,14,S007,2025-1
56,14,S019,2025-1
57,15,S006,2025-1
58,15,S009,2025-1
59,15,S008,2025-1
60,15,S018,2025-1
61,16,S013,2025-1
62,16,S010,2025-1
63,16,S011,2025-1
64,16,S018,2025-1
65,17,S012,2025-1
66,17,S011,2025-1
67,17,S010,2025-1
68,17,S017,2025-1
69,18,S009,2025-1
70,18,S008,2025-1
71,18,S006,2025-1
72,18,S017,2025-1
73,19,S016,2025-1
74,19,S014,2025-1
75,19,S015,2025-1
76,19,S018,2025-1
77,20,S007,2025-1
78,20,S009,2025-1
79,20,S008,2025-1
80,20,S020,2025-1
81,21,S002,2025-1
82,21,S004,2025-1
83,21,S001,2025-1
84,21,S018,2025-1
85,22,S015,2025-1
86,22,S014,2025-1
87,22,S016,2025-1
88,22,S019,2025-1
89,23,S004,2025-1
90,23,S003,2025-1
91,23,S002,2025-1
92,23,S020,2025-1
93,24,S002,2025-1
94,24,S005,2025-1
95,24,S004,2025-1
96,24,S018,2025-1
97,25,S001,2025-1
98,25,S005,2025-1
99,25,S003,2025-1
100,25,S019,2025-1
101,26,S010,2025-1
102,26,S013,2025-1
103,26,S011,2025-1
104,26,S018,2025-1
105,27,S010,2025-1
106,27,S012,2025-1
107,27,S013,2025-1
108,27,S018,2025-1
109,28,S010,2025-1
110,28,S012,2025-1
111,28,S013,2025-1
112,28,S018,2025-1
